station,location,state,do,ph,co,bod,na,tc,year,wqi
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2.2,6.5,322.0,4.7,1.2,14920.0,2014,28.120000000000005
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,1.9,7.7,2941.0,26.9,2.8,37375.0,2014,33.339999999999996
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,0.9,7.6,2039.0,104.5,0.9,511090873.0,2014,28.66
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,1.5,6.9,345.0,33.9,16.9,34251.0,2014,30.040000000000003
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,1.0,7.2,376.0,57.2,20.3,83554.0,2014,32.78
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,0.9,7.2,506.0,61.1,19.6,106333.0,2014,33.339999999999996
3364,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,1.2,7.1,380.0,45.7,15.6,94083.0,2014,33.339999999999996
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2.8,6.4,424.0,3.2,0.35,21036.0,2013,21.520000000000003
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,3.4,7.8,2577.0,164.9,1.5,160405392.0,2013,30.540000000000003
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,2.1,7.2,303.0,37.2,18.2,62333.0,2013,33.339999999999996
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,1.8,7.2,394.0,40.6,15.4,96944.0,2013,33.339999999999996
3364,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,1.9,7.0,306.0,34.2,17.9,85667.0,2013,33.339999999999996
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,GUJARAT,2.2,8.0,1835.0,17.9,0.86,25478.0,2012,33.339999999999996
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,2.0,7.7,3165.0,32.3,3.44,15173.0,2012,33.339999999999996
3183,"SAL AT KHAREBAND, MARGAO",GOA,2.4,6.5,195.0,4.8,0.35,14217.0,2012,28.660000000000004
1573,CHITRAPUZHA AT IRUMPANAM,KERALA,1.7,6.6,769.0,3.4,1.11,1717.0,2012,39.36000000000001
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,0.5,7.1,1717.0,21.2,4.41,15833.0,2012,33.339999999999996
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",TAMILNADU,0.2,7.2,2219.0,185.8,1.75,300000000.0,2012,19.3
1884,KALA AMB D/S MARKANDA RIVER,HARYANA,3.3,7.5,1630.0,185.0,1.75,533687.1656804733,2012,30.540000000000003
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,2.7,7.1,281.0,35.4,14.84,62667.0,2012,33.699999999999996
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,2.5,7.1,382.0,37.2,11.81,87167.0,2012,33.339999999999996
3364,"UMSHYRPI  AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,2.1,7.0,286.0,45.6,10.61,84500.0,2012,33.699999999999996
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN","DAMAN, DIU, DADRA NAGAR HAVELI",4.8,7.8,65700.0,164.0,3.42,533687.1656804733,2011,36.16
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,1.5,6.6,192.0,3.6,0.92,2978.0,2011,39.900000000000006
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,0.8,7.1,1239.0,11.9,1.87,11000.0,2011,33.339999999999996
1884,KALA AMB D/S MARKANDA RIVER,HARYANA,3.1,7.8,1261.0,195.4,4.78,533687.1656804733,2011,30.540000000000003
1155,KARAMANA AT MOONNATTUMUKKU,NAN,0.6,7.0,1787.0,14.1,1.49,17500.0,2010,33.339999999999996
1573,IRUMPANAM,NAN,2.2,6.4,625.0,2.3,1.29,6505.0,2010,37.440000000000005
1434,NAN,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",0.6,7.1,3115.0,36.5,1.7,15425.0,2009,33.339999999999996
1155,NAN,"KARAMANA AT MOONNATTUMUKKU, KERALA",0.7,6.6,4235.0,12.5,1.48,59417.0,2009,23.44
1573,NAN,"CHAITRAPUZHA IRUMPANAM, KERALA",2.9,6.3,841.0,2.0,1.07,913.0,2009,37.440000000000005
2337,NAN,R KADAMBAYAR AT BRAHMAPURAM,1.4,6.2,129.0,2.2,0.48,882.0,2009,38.160000000000004
2338,NAN,R KADAMBAYAR AT MANCKAKADAVU,1.5,6.3,73.0,1.5,0.12,1225.0,2009,38.34
1701,NAN,"GHAGGAR AT D/S JHARMAL NADI, PUNJAB",2.9,7.3,1035.0,13.0,3.9,27500.0,2009,33.339999999999996
1884,NAN,GHAGGAR AT KALA AMB D/S MARKANDA RIVER,1.9,8.4,2187.0,354.0,5.4,533687.1656804733,2009,19.3
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, GUJARAT",NAN,2.8,7.9,663.0,5.93,0.97,358000.0,2008,38.019999999999996
1155,KARAMANA AT MOONNATTUMUKKU,NAN,1.8,6.8,2012.0,5.5,1.8,31167.0,2008,34.72
2337,R KADAMBAYAR AT BRAHMAPURAM,NAN,1.7,6.2,181.0,3.0,0.45,2208.0,2008,37.980000000000004
1884,KALA AMB D/S MARKANDA RIVER,NAN,3.8,7.8,1424.0,155.6,0.66,533687.1656804733,2008,30.540000000000003
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",NAN,0.8,6.8,2156.0,7.4,1.0,20733.0,2007,30.040000000000003
2049,"SUKHNA CHOE, CHANDIGARH",NAN,1.0,7.3,1786.466393692777,49.7,0.6,533687.1656804733,2007,33.339999999999996
1704,"GHAGGAR AT D/S SARDULGARH, PUNJAB",NAN,4.033,7.667,855.0,21.333,1.767,148667.0,2006,33.339999999999996
1026,"GHAGGAR GHNAN2 AT CHANDARPUR SYPHON,  HARYANA",NAN,4.05,7.85,773.5,16.0,19.35,533687.1656804733,2006,33.339999999999996
2047,NNANCHOE (ATTAWA CHOE),NAN,0.6,7.3,646.0,87.0,6.8,533687.1656804733,2006,28.66
NAN,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",NAN,3.9,5.27,5914.0,441.8,0.512,10.0,2005,36.52000000000001
NAN,KALA AMB D/S MARKANDA RIVER,NAN,4.2,8.55,1184.7,341.833,4.0,533687.1656804733,2005,32.86
1434,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",NAN,4.0,9948.0,0.4,513.5,1.6230787089467724,35.0,2003,37.42000000000001
